randomseed,drone_no,t,delta_des,delta_l,delta_f2,delta_f3,delta_obs..1.,delta_obs..2.,delta_obs..3.,delta_wall
1,1,57,0.776375156790486,0.025819862999061,0.094891742968288,0.041732576487592,0,0,0,0.061180660754573
1,1,58,0.783474764101899,0.023852000029471,0.09063262841117,0.041407757964695,0,0,0,0.060632849492764
1,1,59,0.784098357214627,0.025067765684983,0.088833735282008,0.040619271447518,0,0,0,0.061380870370864
1,1,60,0.778138629085732,0.024295732110038,0.097380569192881,0.040411481911945,0,0,0,0.059773587699404
1,1,61,0.782864336210954,0.023202224280972,0.089475571988088,0.042536061449413,0,0,0,0.061921806070573
1,1,62,0.783166131048644,0.023727709683441,0.091726415543974,0.037916480950995,0,0,0,0.063463262772947
1,1,63,0.791413756955691,0.020913213543304,0.084595054261054,0.041613926013903,0,0,0,0.061464049226048
1,1,64,0.788519245572932,0.022330851843122,0.086840544231119,0.039565290728214,0,0,0,0.062744067624613
1,1,65,0.794164578144552,0.020030312656535,0.082973775861494,0.03944817753741,0,0,0,0.06338315580001
1,1,66,0.79406275200725,0.020126880105629,0.085217493531649,0.038043241090862,0,0,0,0.062549633264611
1,1,67,0.792072432871532,0.020228183642063,0.08542732154366,0.037990175523036,0,0,0,0.06428188641971
1,1,68,0.798275324232864,0.018804869817025,0.082514377582237,0.036678302289391,0,0,0,0.063727126078484
1,1,69,0.794630129958501,0.019442890978089,0.081853669385035,0.039702486205638,0,0,0,0.064370823472737
1,1,70,0.798748998626901,0.017547785984546,0.086044431528562,0.034694112598126,0,0,0,0.062964671261864
1,1,71,0.806726339039959,0.016095603161604,0.075186321000727,0.038106055872647,0,0,0,0.063885680925063
1,1,72,0.804383965599811,0.017699378525809,0.077371873404448,0.03674276377659,0,0,0,0.063802018693343
1,1,73,0.798752986712227,0.016812311818494,0.085352303138419,0.037845072255783,0,0,0,0.061237326075076
1,1,74,0.799679773870315,0.01736864067894,0.081998968071322,0.036957401296697,0,0,0,0.063995216082726
1,1,75,0.809794405662748,0.015674094924606,0.075779304313334,0.034956287624379,0,0,0,0.063795907474933
1,1,76,0.805804765969119,0.016667223280232,0.08196243562187,0.031621385067091,0,0,0,0.063944190061689
1,1,77,0.815868538926532,0.015267360872535,0.073335345417846,0.031457357800808,0,0,0,0.064071396982279
1,1,78,0.813531271394653,0.015074553817949,0.075139950491693,0.030804397965493,0,0,0,0.065449826330211
1,1,79,0.815391569961319,0.016111293360861,0.072754842203607,0.033386479001543,0,0,0,0.06235581547267
1,1,80,0.817223574883899,0.015530495007796,0.070955255892105,0.031667568337519,0,0,0,0.064623105878681
1,1,81,0.814855403938552,0.014349269276924,0.075719191552434,0.032734632421559,0,0,0,0.062341502810531
1,1,82,0.820818191537114,0.014795310883253,0.07083396481285,0.029800219030588,0,0,0,0.063752313736196
1,1,83,0.820906579579569,0.013724902240054,0.067907231461816,0.032742424508469,0,0,0,0.064718862210092
1,1,84,0.816307522988662,0.01711766180167,0.071859388411667,0.029956959260644,0,0,0,0.064758467537357
1,1,85,0.820607954303651,0.014499605180699,0.070464313456677,0.030507312327677,0,0,0,0.063920814731296
1,1,86,0.818997312285708,0.013929128112061,0.072099813424318,0.03216921518382,0,0,0,0.062804530994093
1,1,87,0.819737450257993,0.013702242407878,0.071156456027665,0.032214555179162,0,0,0,0.063189296127302
1,1,88,0.815903898059022,0.01470604934192,0.075507374415881,0.031223747382788,0,0,0,0.062658930800389
1,1,89,0.817071679806219,0.014184605652509,0.071688471121723,0.031613913057408,0,0,0,0.06544133036214
1,1,90,0.817752674437629,0.013320877612047,0.074753750928573,0.030624978084663,0,0,0,0.063547718937088
1,1,91,0.821684513379635,0.012363772483637,0.071700361739241,0.031104570641368,0,0,0,0.063146781756119
1,1,92,0.820710990859561,0.011581858745938,0.070881653071058,0.030276954920215,0,0,0,0.066548542403228
1,1,93,0.821696770336089,0.010806159161693,0.072104340224658,0.029521337553043,0,0,0,0.065871392724517
1,1,94,0.815911504515662,0.013182890175742,0.072342980132579,0.032832165261816,0,0,0,0.0657304599142
1,1,95,0.818826720280328,0.010626816444791,0.070023743106107,0.031583699557155,0,0,0,0.06893902061162
1,1,96,0.819935037203686,0.011548719183216,0.070954172314554,0.030376425041879,0,0,0,0.067185646256664
1,1,97,0.821719904677653,0.011225088688266,0.070724014420478,0.029749798450625,0,0,0,0.066581193762979
1,1,98,0.820100619010026,0.01306176505304,0.071333038656669,0.028669958825068,0,0,0,0.066834618455198
1,1,99,0.824212778516901,0.011046336837143,0.068415846059892,0.027563644229733,0,0,0,0.068761394356332
1,1,100,0.821576977281138,0.011140226374508,0.07435182903223,0.027617532471296,0,0,0,0.065313434840828
1,1,101,0.817425354733755,0.010703348735996,0.072058548019947,0.026715170323417,0,0,0,0.073097578186885
1,1,102,0.823286255231346,0.011089247354298,0.071270810397798,0.025362232790118,0,0,0,0.06899145422644
1,1,103,0.821629444854915,0.010309130508409,0.071033212699613,0.02680697121071,0,0,0,0.070221240726353
1,1,104,0.817711605343854,0.010503177996648,0.071691162127202,0.028353700686108,0,0,0,0.07174035384619
1,1,105,0.810588551117894,0.010617733719309,0.081700197523799,0.027437952184816,0,0,0,0.069655565454182
1,1,106,0.817054267885267,0.011577645591977,0.072826345460736,0.027528177953834,0,0,0,0.071013563108187
1,1,107,0.821400472863291,0.01094537530849,0.069711247540274,0.027061359873359,0,0,0,0.070881544414587
1,1,108,0.815830509135461,0.011390179951538,0.073163554715065,0.027158534525085,0,0,0,0.072457221672852
1,1,109,0.814059489277346,0.012046236792743,0.076027458221889,0.027326877237499,0,0,0,0.070539938470523
1,1,110,0.813870713749779,0.011790156234985,0.075952247284566,0.026382352627656,0,0,0,0.072004530103014
1,1,111,0.810833222513996,0.010813300684305,0.079299980159192,0.02841357598686,0,0,0,0.070639920655648
1,1,112,0.81713034028812,0.010755440141305,0.07167446633381,0.027547058745664,0,0,0,0.072892694491101
1,1,113,0.81187415104672,0.011182022084444,0.075371114539892,0.029477612595978,0,0,0,0.072095099732967
1,1,114,0.810861238200333,0.010605102144495,0.076154443622707,0.028623803346249,0,0,0,0.073755412686215
1,1,115,0.810446168238723,0.010548499793066,0.077667669503651,0.027476868586565,0,0,0,0.073860793877995
1,1,116,0.812421118085867,0.010034671239851,0.076596481578543,0.02685686021014,0,0,0,0.074090868885599
1,1,117,0.808630699393791,0.011225389874141,0.077257980223175,0.028820951368957,0,0,0,0.074064979139937
1,1,118,0.809375421535751,0.011731585991362,0.078930163920403,0.027305534678257,0,0,0,0.072657293874228
1,1,119,0.821507406838218,0.008780010739026,0.070497296064712,0.02597485809833,0,0,0,0.073240428259714
1,1,120,0.817042247038499,0.010907172040639,0.068730689447272,0.026609489077799,0,0,0,0.07671040239579
1,1,121,0.819031447734557,0.011339908429689,0.069583408832065,0.024768970871462,0,0,0,0.075276264132228
1,1,122,0.824186971519818,0.010283534960745,0.068972683143582,0.023574015899294,0,0,0,0.072982794476561
1,1,123,0.820779459036157,0.010079329938668,0.068709850226405,0.024738749981276,0,0,0,0.075692610817493
1,1,124,0.822659531653582,0.010709902791982,0.066449407716709,0.024952010131532,0,0,0,0.075229147706196
1,1,125,0.819351612466687,0.011672866552426,0.071657919502719,0.023474904549051,0,0,0,0.073842696929117
1,1,126,0.828025041748236,0.009200691700875,0.065509452601177,0.02293688750307,0,0,0,0.074327926446642
1,1,127,0.821233628087188,0.009403319420126,0.074440136550859,0.024311266352895,0,0,0,0.070611649588933
1,1,128,0.820128182790835,0.009697217068122,0.067940097285437,0.026978270281655,0,0,0,0.075256232573952
1,1,129,0.822923644428776,0.010338082706011,0.067804252029242,0.025153811443366,0,0,0,0.073780209392604
1,1,130,0.818866135002747,0.010944959613209,0.071288703275631,0.024343361513189,0,0,0,0.074556840595223
1,1,131,0.819854912508799,0.010069156350423,0.072137628492299,0.024270934081664,0,0,0,0.073667368566815
1,1,132,0.821103295799652,0.008843117887746,0.069511321427817,0.026744724373307,0,0,0,0.073797540511479
1,1,133,0.816907157483704,0.010337462210816,0.072971377876373,0.026041550534638,0,0,0,0.073742451894469
1,1,134,0.817794032212402,0.011074387453155,0.071602055507706,0.025895020250167,0,0,0,0.07363450457657
1,1,135,0.816946487028306,0.00841862422971,0.074155685909561,0.026233193516308,0,0,0,0.074246009316114
1,1,136,0.811749502366408,0.010344765530146,0.078489748306034,0.026087163820088,0,0,0,0.073328819977324
1,1,137,0.810449044491303,0.010792297466702,0.07504030713334,0.028577131247288,0,0,0,0.075141219661368
1,1,138,0.808827416978207,0.01165762007227,0.077661741805278,0.026255770230612,0,0,0,0.075597450913633
1,1,139,0.809982877197514,0.009179055795295,0.079818916819066,0.027319047078475,0,0,0,0.07370010310965
1,1,140,0.808045359352743,0.009109743478975,0.081061992876813,0.027813881525057,0,0,0,0.073969022766412
1,1,141,0.805942659147143,0.010392937235604,0.077010210725135,0.028775039729819,0,0,0,0.0778791531623
1,1,142,0.809432141134085,0.009539860369685,0.07754819250154,0.029444797403304,0,0,0,0.074035008591386
1,1,143,0.807837827656191,0.009315326184576,0.078350763817926,0.028180044064113,0,0,0,0.076316038277194
1,1,144,0.805493973456562,0.011691713469774,0.081077030260873,0.027695529166409,0,0,0,0.074041753646383
1,1,145,0.804810380622185,0.010293034138656,0.082323885075241,0.029946645513838,0,0,0,0.07262605465008
1,1,146,0.805460137696557,0.010460656133554,0.079115780930772,0.029366772196505,0,0,0,0.075596653042613
1,1,147,0.847079349176593,0.006909840108568,0.108775017219301,0.007321172166511,0,0,0,0.029914621329027
1,1,148,0.813379295711629,0.010552499836407,0.122845446281748,0.012299548112193,0,0,0,0.040923210058023
1,1,149,0.801355362646807,0.008522177111954,0.107740218107621,0.059117386074295,0,0,0,0.023264856059323
