randomseed,drone_no,t,delta_des,delta_l,delta_f2,delta_f3,delta_obs..1.,delta_obs..2.,delta_obs..3.,delta_wall
148,1,148,0.908029784,0.027676763,0.008052891,0.056240562,0,0,0,0
149,1,149,0.902599238,0.042508256,0.008218651,0.046673855,0,0,0,0
150,1,150,0.886930049,0.035835335,0.02373931,0.053495306,0,0,0,0
151,1,151,0.884543828,0.034041821,0.023149631,0.05826472,0,0,0,0
152,1,152,0.88339702,0.028354938,0.0217455,0.066502542,0,0,0,0
153,1,153,0.884096445,0.027308477,0.020696935,0.067898143,0,0,0,0
154,1,154,0.886690843,0.026120873,0.019769534,0.06741875,0,0,0,0
155,1,155,0.888295125,0.0223503,0.021810547,0.067544028,0,0,0,0
156,1,156,0.889528231,0.020891243,0.020971218,0.068609308,0,0,0,0
157,1,157,0.89079587,0.017548283,0.019834275,0.071821572,0,0,0,0
158,1,158,0.89182795,0.017653782,0.020814161,0.069704107,0,0,0,0
159,1,159,0.894036655,0.016400968,0.018500002,0.071062375,0,0,0,0
160,1,160,0.897872021,0.015692453,0.017315754,0.069119772,0,0,0,0
161,1,161,0.898125399,0.014957614,0.018102449,0.068814538,0,0,0,0
162,1,162,0.900682799,0.013046029,0.018098033,0.068173139,0,0,0,0
163,1,163,0.89548588,0.013592924,0.018396624,0.072524572,0,0,0,0
164,1,164,0.897021934,0.010580997,0.017696061,0.074701008,0,0,0,0
165,1,165,0.896548383,0.011700665,0.017799301,0.073951651,0,0,0,0
166,1,166,0.898645247,0.01150466,0.017228519,0.072621574,0,0,0,0
167,1,167,0.901020107,0.010358493,0.018179183,0.070442217,0,0,0,0
168,1,168,0.900195446,0.010539978,0.018398834,0.070865742,0,0,0,0
169,1,169,0.902395173,0.01020728,0.016473852,0.070923695,0,0,0,0
170,1,170,0.900030329,0.010354752,0.016306914,0.073308005,0,0,0,0
171,1,171,0.904122559,0.00948216,0.015662891,0.07073239,0,0,0,0
172,1,172,0.904207054,0.009601984,0.015214624,0.070976338,0,0,0,0
173,1,173,0.902893563,0.009551863,0.014928117,0.072626457,0,0,0,0
174,1,174,0.902364515,0.009424901,0.016072692,0.072137892,0,0,0,0
175,1,175,0.903307119,0.009589894,0.015618331,0.071484656,0,0,0,0
176,1,176,0.901936257,0.009109749,0.01481484,0.074139154,0,0,0,0
177,1,177,0.904197314,0.009191232,0.015554623,0.071056831,0,0,0,0
178,1,178,0.904495331,0.009134177,0.016977569,0.069392923,0,0,0,0
179,1,179,0.905066793,0.008094471,0.016802187,0.070036549,0,0,0,0
180,1,180,0.901077322,0.008892673,0.01724025,0.072789755,0,0,0,0
181,1,181,0.901765435,0.007845883,0.016295895,0.074092787,0,0,0,0
182,1,182,0.90196357,0.00787313,0.017407521,0.072755779,0,0,0,0
183,1,183,0.90086743,0.007252539,0.017246226,0.074633805,0,0,0,0
184,1,184,0.899429704,0.008119923,0.016680413,0.07576996,0,0,0,0
185,1,185,0.89802832,0.007715951,0.016748963,0.077506766,0,0,0,0
186,1,186,0.90328108,0.007296287,0.01532854,0.074094093,0,0,0,0
187,1,187,0.899073537,0.007152363,0.016513997,0.077260103,0,0,0,0
188,1,188,0.899434063,0.00741371,0.016714422,0.076437805,0,0,0,0
189,1,189,0.901225179,0.006090677,0.015869233,0.076814911,0,0,0,0
190,1,190,0.899927217,0.007311637,0.016182422,0.076578724,0,0,0,0
191,1,191,0.903145652,0.00674296,0.016279451,0.073831937,0,0,0,0
192,1,192,0.897994919,0.007748536,0.016307695,0.07794885,0,0,0,0
193,1,193,0.90001647,0.006475368,0.017031059,0.076477103,0,0,0,0
194,1,194,0.903413636,0.006443363,0.018440372,0.071702629,0,0,0,0
195,1,195,0.897179208,0.006946723,0.016584934,0.079289135,0,0,0,0
196,1,196,0.904071387,0.00656339,0.016749176,0.072616047,0,0,0,0
197,1,197,0.905116955,0.006288322,0.017076297,0.071518426,0,0,0,0
198,1,198,0.907154286,0.005813665,0.017081452,0.069950597,0,0,0,0
199,1,199,0.904370892,0.006585724,0.017861532,0.071181852,0,0,0,0
200,1,200,0.903888138,0.006026116,0.01757037,0.072515376,0,0,0,0
201,1,201,0.902161175,0.005961012,0.01691363,0.074964183,0,0,0,0
202,1,202,0.900216648,0.00638457,0.016608823,0.076789959,0,0,0,0
203,1,203,0.904382945,0.006101378,0.016881958,0.072633719,0,0,0,0
204,1,204,0.898442189,0.0068153,0.01732048,0.077422031,0,0,0,0
205,1,205,0.901744382,0.006566205,0.016018332,0.075671081,0,0,0,0
206,1,206,0.902828997,0.006082782,0.017807234,0.073280987,0,0,0,0
207,1,207,0.897564171,0.007065919,0.017605292,0.077764618,0,0,0,0
208,1,208,0.903044749,0.005472288,0.01807661,0.073406353,0,0,0,0
209,1,209,0.897006543,0.007143528,0.018287156,0.077562773,0,0,0,0
210,1,210,0.900771828,0.005866263,0.017812942,0.075548967,0,0,0,0
211,1,211,0.89788942,0.006322522,0.018876966,0.076911092,0,0,0,0
212,1,212,0.902453834,0.006424174,0.01846869,0.072653302,0,0,0,0
213,1,213,0.899403493,0.006328919,0.017611189,0.076656399,0,0,0,0
214,1,214,0.895774041,0.006671483,0.017240294,0.080314182,0,0,0,0
215,1,215,0.900915943,0.005861009,0.018522095,0.074700953,0,0,0,0
216,1,216,0.897769276,0.006201578,0.017351222,0.078677924,0,0,0,0
217,1,217,0.903147598,0.005660977,0.018569974,0.072621451,0,0,0,0
218,1,218,0.900715658,0.005396771,0.017485648,0.076401923,0,0,0,0
219,1,219,0.90007589,0.006122157,0.017285225,0.076516728,0,0,0,0
220,1,220,0.901017533,0.005471645,0.015930962,0.07757986,0,0,0,0
221,1,221,0.898704192,0.005843918,0.016968269,0.078483621,0,0,0,0
222,1,222,0.902478468,0.005657333,0.017592425,0.074271774,0,0,0,0
223,1,223,0.898732121,0.005551878,0.017198832,0.078517169,0,0,0,0
224,1,224,0.898599403,0.005991791,0.018381654,0.077027152,0,0,0,0
225,1,225,0.900899132,0.004903597,0.017427802,0.076769469,0,0,0,0
226,1,226,0.897965243,0.00601609,0.018291368,0.077727299,0,0,0,0
227,1,227,0.894872302,0.005570009,0.017098011,0.082459678,0,0,0,0
228,1,228,0.894965683,0.005741414,0.017631449,0.081661454,0,0,0,0
229,1,229,0.893539862,0.005611714,0.016893535,0.083954889,0,0,0,0
230,1,230,0.892718754,0.005458099,0.016515114,0.085308033,0,0,0,0
231,1,231,0.897297876,0.005179542,0.017688976,0.079833606,0,0,0,0
232,1,232,0.897240364,0.004319958,0.016701228,0.08173845,0,0,0,0
233,1,233,0.894127208,0.005775288,0.017545586,0.082551918,0,0,0,0
234,1,234,0.895480576,0.004886927,0.017042393,0.082590104,0,0,0,0
235,1,235,0.897324533,0.004972608,0.018007498,0.079695361,0,0,0,0
236,1,236,0.896260029,0.00556376,0.017506534,0.080669677,0,0,0,0
